,R,G,B,Label
0,30,33,33,black
1,48,40,49,black
2,49,45,49,black
3,40,35,37,black
4,41,36,38,black
5,41,36,38,black
6,40,37,39,black
7,39,37,39,black
8,42,40,42,black
9,38,36,38,black
10,34,32,33,black
11,34,33,35,black
12,40,35,40,black
13,58,48,52,black
14,37,30,33,black
15,33,30,31,black
16,34,33,37,black
17,42,40,42,black
18,44,43,47,black
19,43,41,44,black
20,0,122,254,blue
21,0,117,254,blue
22,0,108,254,blue
23,0,110,254,blue
24,0,106,254,blue
25,0,98,254,blue
26,0,103,254,blue
27,0,112,254,blue
28,27,142,254,blue
29,31,132,254,blue
30,9,107,246,blue
31,0,90,238,blue
32,0,112,254,blue
33,0,110,254,blue
34,18,122,254,blue
35,57,144,254,blue
36,28,121,250,blue
37,0,91,248,blue
38,0,101,254,blue
39,0,101,254,blue
40,129,197,207,cyan
41,79,185,205,cyan
42,63,204,251,cyan
43,69,204,252,cyan
44,51,197,249,cyan
45,143,235,254,cyan
46,72,209,249,cyan
47,74,208,248,cyan
48,76,212,251,cyan
49,71,205,241,cyan
50,60,198,233,cyan
51,55,199,237,cyan
52,53,160,192,cyan
53,46,172,209,cyan
54,54,199,244,cyan
55,58,203,252,cyan
56,52,204,253,cyan
57,46,203,253,cyan
58,52,202,250,cyan
59,55,201,248,cyan
60,24,156,77,green
61,22,151,74,green
62,21,154,75,green
63,25,164,80,green
64,27,167,83,green
65,29,166,86,green
66,35,162,89,green
67,40,156,79,green
68,53,161,66,green
69,66,167,72,green
70,67,168,71,green
71,64,165,68,green
72,28,171,76,green
73,28,170,82,green
74,26,166,79,green
75,26,166,79,green
76,29,167,82,green
77,31,168,85,green
78,28,165,82,green
79,181,174,184,grey
80,153,148,155,grey
81,116,114,122,grey
82,127,125,132,grey
83,139,128,135,grey
84,138,124,132,grey
85,105,97,100,grey
86,76,71,72,grey
87,75,73,75,grey
88,72,71,74,grey
89,77,76,80,grey
90,98,95,99,grey
91,128,122,130,grey
92,110,104,109,grey
93,126,121,129,grey
94,120,113,118,grey
95,108,104,108,grey
96,91,89,95,grey
97,93,92,105,grey
98,103,102,110,grey
99,34,182,45,lime
100,34,180,45,lime
101,37,184,51,lime
102,43,189,64,lime
103,46,185,74,lime
104,43,185,77,lime
105,40,193,75,lime
106,28,197,59,lime
107,24,196,58,lime
108,22,202,62,lime
109,29,205,59,lime
110,29,205,61,lime
111,39,190,67,lime
112,40,192,61,lime
113,38,198,59,lime
114,41,205,58,lime
115,41,203,56,lime
116,40,198,53,lime
117,37,188,48,lime
118,210,83,226,magenta
119,212,92,231,magenta
120,223,122,229,magenta
121,216,88,220,magenta
122,204,75,209,magenta
123,106,36,118,magenta
124,117,54,132,magenta
125,149,82,164,magenta
126,151,84,167,magenta
127,148,82,167,magenta
128,150,89,173,magenta
129,149,85,172,magenta
130,214,94,233,magenta
131,214,94,233,magenta
132,211,89,230,magenta
133,219,92,238,magenta
134,226,97,246,magenta
135,232,104,249,magenta
136,229,103,242,magenta
137,227,104,238,magenta
138,129,30,15,maroon
139,209,61,49,maroon
140,203,62,51,maroon
141,183,57,46,maroon
142,177,54,43,maroon
143,174,53,41,maroon
144,184,51,40,maroon
145,198,50,37,maroon
146,196,49,37,maroon
147,192,48,39,maroon
148,191,49,41,maroon
149,189,53,47,maroon
150,181,49,43,maroon
151,193,47,39,maroon
152,204,67,61,maroon
153,187,59,54,maroon
154,185,58,53,maroon
155,189,60,55,maroon
156,191,53,44,maroon
157,205,60,49,maroon
158,2,94,208,navy
159,3,77,186,navy
160,5,71,182,navy
161,4,70,184,navy
162,4,71,184,navy
163,57,113,199,navy
164,85,125,194,navy
165,83,122,190,navy
166,8,63,165,navy
167,2,57,162,navy
168,18,46,109,navy
169,26,45,85,navy
170,2,71,179,navy
171,1,67,179,navy
172,0,64,179,navy
173,0,64,177,navy
174,1,65,178,navy
175,2,69,179,navy
176,2,67,179,navy
177,1,66,178,navy
178,163,161,72,olive
179,165,163,74,olive
180,167,165,76,olive
